final_text,sentimentLabel,stemmed_text
habis update malah enggak bisa log ini,neutral,habis update enggak log
tolong berikan opsi pengaturan tampilan bacaan yang lebih lengkap karena yang sekarang sangat tidak nyaman,negative,tolong opsi atur tampil baca lengkap tidak nyaman
finally bisa install di ereader syukurlah,positive,finally install ereader syukur
overall bagus cuman nih ya cuman setiap kali ada kalimat yang mau distabiloin atau apalah itu namanya kenapa selalu ngelag tolong perbaiki ya terkadang ada kalimat yang menurut aku penting untuk diingat dan niatnya pengin aku tandain kalau terusan begini aku jadi perlahan lost interest sama ipusnas aplikasi ini sudah bagus lho kalian memudahkan kami yang suka membaca dengan membuat aplikasi ini tapi akan lebih bagus lagi jika bug nya diperbaiki terima kasih,neutral,overall bagus cuman nih ya cuman kali kalimat distabiloin apa nama ngelag tolong baik ya terkadang kalimat niat pengin tandain terus perlahan lost interest ipusnas aplikasi bagus lho mudah suka baca aplikasi bagus bug nya baik terima kasih
kenapa buku yang sudah dipinjam tidak langsung terunduh seperti dulu apa harus online sekarang kalo enggak sengaja keluar pasti menunggu di unduh ulang lagi,negative,buku pinjam tidak langsung unduh online kalo enggak sengaja tunggu unduh ulang
terima kasih ipusnas telah menjaga nyala api literasi bagi masyarakat indonesia sukses selalu untuk seluruh tim dibalik layar,neutral,terima kasih ipusnas jaga nyala api literasi masyarakat indonesia sukses tim balik layar
maksudnya verifikasi gagal itu apa jelas saya installnya dari sini kurang asli apa lagi hah berdosa kalian,negative,maksud verifikasi gagal installnya asli hah dosa
the app is really great i really appreciate itu and im really grateful but please fix the problem i cant even read the app says verification failed and you have tapi download from play store wth di you think i downloaded itu from a dark web orang something of course i downloaded itu from play store bruh,negative,app really great really appreciate im really grateful please fix problem cant even read app says verification failed download play store wth think downloaded dark web orang something course downloaded play store bruh
duh error terus diminta pakai aplikasi resmi dari play store dan devicenya enggak boleh dimodifikasi padahal enggak ada masalah sama device dan download juga dari play store tolong perbaikannya supaya semua orang bisa baca,negative,duh error pakai aplikasi resmi play store devicenya enggak modifikasi enggak device download play store tolong baik orang baca
trashhhhh,neutral,trashhhhh
tidak bisa baca muncul pesan gagal verifikasi perangkat padahal kemarin tidak apa apa sudah instal ulang clear cache dll tetap sama saja,negative,tidak baca muncul pesan gagal verifikasi perangkat kemarin tidak instal ulang clear cache dll
aplikasi sampah secara maintenance tapi manfaat nya besar banget astaghfirullah kok bisa enggak niat banget mengasih rakyatnya membaca gratis,positive,aplikasi sampah maintenance manfaat nya banget astaghfirullah enggak niat banget asih rakyat baca gratis
edit sudah berjalan baik kembali lama masih ada beberapa error tapi sudah cukup baik dibandingkan tepat setelah update ke tampilan baru edit sekarang malah tidak bisa dibuka verifikasi perangkat gagal padahal aplikasi dari playstore,negative,edit jalan error banding update tampil edit tidak buka verifikasi perangkat gagal aplikasi playstore
huhuhu bagusan versi yang sebelumnya sekarang buku tidak otomatis tersimpan sth download shg tidak bisa dibaca offline jika salah pencet ketika baca bikin masuk di mode untuk highlight dll tapi enggak bisa bergerak ke halaman berikutnya ketika klik back yang ada balik ke bagian harus download ulang sangat mengganggu kenyamanan membaca semoga bagian itu baca ini dan perbaiki kembalikan ke versi nyaman yang dulu semoga,negative,huhuhu bagus versi buku tidak otomatis simpan sth download shg tidak baca offline salah pencet baca bikin masuk mode highlight dll enggak gerak halaman klik back download ulang ganggu nyaman baca moga baca baik kembali versi nyaman moga
masih ada error di touchpad saat kita tidak sengaja tekan layar tidak ada cara untuk menormalkan kembali harus keluar dari ebook lalu kembali lagi,negative,error touchpad tidak sengaja tekan layar tidak normal ebook
fitur penandanya mengganggu banget waktu scroll better enggak usah deh dikasih fitur ini kalo kepencet di back malah keluar dari bukunya,negative,fitur tanda ganggu banget scroll better enggak deh kasih fitur kalo pencet back buku
layu sebelum berkembang,negative,layu kembang
enggak bisa dibuka pasti keluar sendiri,neutral,enggak buka
buku tidak tersimpan secara offline setiap buka buku harus download ulang tolong perbaiki lagi,negative,buku tidak simpan offline buka buku download ulang tolong baik
susah banget buat pinjem,negative,susah banget pinjem
nas stands for nasional book collections meh,negative,nas stands nasional book collections meh
pakai aplikasinya dari dulu awal kuliah sampai sekarang sudah wisuda enggak ada peningkatan sama sekali tolong bikin supaya bisa cari buku berdasarkan penerbitnya juga dan sistem filternya dibenerin apalagi filter genre kalau perlu ditambah fitur search di filternya karena capek scroll ke bawah bawah ternyata yang dicari genrenya enggak sesuai wowok gara gara lu nih,negative,pakai aplikasi kuliah wisuda enggak tingkat tolong bikin cari buku dasar terbit sistem filter dibenerin filter genre tambah fitur search filter capek scroll cari genre enggak sesuai wowok gara gara nih
tidak bisa buka ebook yang formatnya epub ayo dong ipusnas diperbaiki lagi rating sudah mengerikan begini kasihan tau rakyat indonesia yang gemar baca dan mau meningkatkan literasi jadi kesusahan sudahlah harga buku mahal satusatunya sumber bacaan gratis masih enggak proper juga,positive,tidak buka ebook format epub ayo ipusnas baik rating keri kasihan tau rakyat indonesia gemar baca tingkat literasi susah harga buku mahal satusatunya sumber baca gratis enggak proper
yeay sudah jadi jangan sering error ya ipusnas,negative,yeay error ya ipusnas
aplikasi apaan ini error errorr,negative,aplikasi error errorr
masih suka ngecrash tibatiba logout sendiri tapi koleksinya banyak sok masih bisa ditingkatkan lagi semoga pemerintah enggak menghalangi jalan ya,positive,suka ngecrash tibatiba logout koleksi sok tingkat moga perintah enggak halang jalan ya
versi ngebug gagal download mulu,negative,versi ngebug gagal download mulu
whyy sekarang susah banget aplikasi ini digunakan bahkan untuk login tolong banget diperbaiki aplikasi ini sangat berguna mencerdaskan bangsa kecuali kalian tidak peduli,negative,whyy susah banget aplikasi login tolong banget baik aplikasi guna cerdas bangsa kecuali tidak peduli
sudah lancar,positive,lancar
tolong buat readernya by page karena kalau di tablet capek bacanya kalau scrolling,positive,tolong readernya page tablet capek baca scrolling
tidak bisa untuk pinjam buku error terus,negative,tidak pinjam buku error
terlalu sering error dan error nya tuh konsisten banget kayak error sebulan habis itu bisa dipakai paling lama cuma seminggu,negative,error error nya tuh konsisten banget kayak error bulan habis pakai minggu
admin ini kenapa susah sekali untu minjem dan ketika sudah dipinjem enggak bisa kebuka mungkin bisa tolong diperbaiki sayang sekali kalau seperti ini,neutral,admin susah untu minjem dipinjem enggak buka tolong baik sayang
fitur bookmark masih belum bisa dipakai ternyata sudah dari lama menunggu fitur bookmark soalnya kadang lupa ngetracking hal bacaan di app tracker,positive,fitur bookmark pakai tunggu fitur bookmark kadang lupa ngetracking baca app tracker
sudah bisa login dan pinjam buku sekarang pliss banget pertahanin jangan sering eror,negative,login pinjam buku pliss banget pertahanin eror
kali ini berhasil login tapi malah device verification failed setiap kali minjam diminta menggunakan aplikasi resmi padahal downloadnya di play store giliran berhasil pinjam enggak bisa dibaca karena token validation failed banyak banget errornya ini aplikasi berkali kali rilis info ke kalo deh diatasi dalam hitungan jam ada lagi errornya begitu terus dari tahun kemarin masalah maintenance lah upgrading lah stabilisasi lah versi lama lebih stabil versi sebelum interface nya berubah,positive,kali hasil login device verification failed kali minjam aplikasi resmi downloadnya play store gilir hasil pinjam enggak baca token validation failed banget errornya aplikasi kali kali rilis info kalo deh atas hitung jam errornya kemarin maintenance upgrading stabilisasi versi stabil versi interface nya ubah
saya sudah verifikasi tapi pas mau pinjam belum ter verifikasi dan juga saya di kira pakai aplikasi modifikasi aneh,positive,verifikasi pas pinjam ter verifikasi pakai aplikasi modifikasi aneh
enggak bisa pinjem buku error mulu,negative,enggak pinjem buku error mulu
itu doesnt work,neutral,doesnt work
gagal meminjam buku secara online keterangannya harus install aplikasi resmi melalui playstore padahal install nya langsung dari playstore,negative,gagal pinjam buku online terang install aplikasi resmi playstore install nya langsung playstore
finally after updating many times ini a few years the latest version of this application didnt work anymore i cant borrow the book because my verification was rejected itu notified that device verification was failed i used two accounts and reinstall the apps but still cant fix the problem which device software modification that makes crucial tapi decide verification will be confirmed orang rejected,negative,finally updating many times years latest version application didnt work anymore cant borrow book verification rejected notified device verification failed used two accounts reinstall apps still cant fix problem device software modification makes crucial decide verification confirmed orang rejected
buku tersedia sudah banyak aplikasi sering crash tolong di perbaiki sebisa mungkin agak sedikit terganggu untuk aksesnya,negative,buku sedia aplikasi crash tolong baik bisa ganggu akses
eror maksimal,negative,eror maksimal
malfunction apps,neutral,malfunction apps
lumayan lengkap dan nagus kadang bug stuck loading setelah update terakhir malah enggak bisa login,positive,lumayan lengkap nagus kadang bug stuck loading update enggak login
wah parah banget nih apk erorr terus,negative,parah banget nih apk erorr
hari hari error,negative,error
halo ini kenapa ya tiap berusaha mau log inbahkan coba buat akun baru enggak bisa huhu aku kira device aku yang bermasalah tapi saat coba ganti device sama saja error padahal lagi butuh banget,negative,halo ya usaha log inbahkan coba akun enggak huhu device masalah coba ganti device error butuh banget
tolong dong kakak teknisi ipusnas ini apknya jelek banget enggak bisa dipakai setelah update,negative,tolong kakak teknisi ipusnas apknya jelek banget enggak pakai update
lemott,neutral,lemott
kocak enggak bisa dibuka apk nya padahal jaringannya bagus berandanya loading terus enggak muncul,negative,kocak enggak buka apk nya jaring bagus beranda loading enggak muncul
enggak bisa login,neutral,enggak login
gagal mendaftar baik di hp maupun web,negative,gagal daftar hp web
kapan perbaiki app ini heran,positive,baik app heran
ciri khas app punya pemerintah selalu setengah ada saja hal yang bikin kecewa kalau enggak mau dibilang sampah enggak bisa login lelet fitur enggak lengkap layar blank app logout sendiri dsb,negative,ciri khas app perintah bikin kecewa enggak bilang sampah enggak login lelet fitur enggak lengkap layar blank app logout dsb
i couldnt login please fix the problems,negative,couldnt login please fix problems
error terus kenapa min lagi baca soalnya,negative,error min baca
kemarin sudah enggak error hari ini malah kembali error padahal sudah excited buat baca,negative,kemarin enggak error error excited baca
efek realokasi anggaran ke mbak kah jadi jelek begini,positive,efek realokasi anggar mbak kah jelek
lagi baca terus keluar aplikasi karena harus naruh hp pas masuk lagi malah lag tampilan home kosong enggak bisa dipencet apaapa rak buku kosong ngesearch juga enggak bisa coba hapus data aplikasi otomatis kan ke log out ya yaudah akhirnya log ini lagi dan ya sampai sekarang malah enggak bisa log ini serius sedih loh sudah niatin baca buku nemu buku bagus sudah menyempatkan baca dikit terus pas mau ngelanjutin malah dikasih beginian mau sampai kapan pelayanan aplikasinya enggak bisa dinikmatin kayak begini,negative,baca aplikasi naruh hp pas masuk lag tampil home kosong enggak pencet apaapa rak buku kosong ngesearch enggak coba hapus data aplikasi otomatis log ya yaudah log ya enggak log serius sedih niatin baca buku nemu buku bagus sempat baca dikit pas ngelanjutin kasih layan aplikasi enggak dinikmatin kayak
sering banget error app enggak bisa dibuka padahal internet lancar tolonglah benerin ini,negative,banget error app enggak buka internet lancar tolong benerin
i dont know how they developed this app i prefer the previous version which is simple but smooth this version makes me uncomfortable every time i open this app i have tapi log ini first and itu takes quite a long time tapi load,neutral,dont know developed app prefer previous version simple smooth version makes uncomfortable every time open app log first takes quite long time load
sudah ada perbaikan dari perbaruan versi lebih stabil dari sebelumnya namun masih ada kekurangan yaitu harus download lagi meskipun sudah dipinjam dan dibaca tampilan lebih lengkap dan kemudahan meminjam dan mengembalikan,positive,baik baru versi stabil kurang download pinjam baca tampil lengkap mudah pinjam kembali
tidak bisa dibuka di tab,negative,tidak buka tab
akhirnya bisa baca setelah sekian lama selalu error tolong menu mode baca dibuat menu tersendiri karena tiap salah tap mode baca berubah dari scroll ke slide menu highlight text dll juga mohon dibuat menu tersendiri,negative,baca sekian error tolong menu mode baca menu sendiri salah tap mode baca ubah scroll slide menu highlight text dll mohon menu sendiri
terima kasih ipusnas sudah mendengarkan komplain dan kritik masyarakat sekarang sistem aplikasinya sudah lebih baik dan mudah digunakan lagi untuk meminjam maupun membaca buku,negative,terima kasih ipusnas dengar komplain kritik masyarakat sistem aplikasi mudah pinjam baca buku
sering banget ngebug enggak bisa baca buku yang dipinjam and di website juga sama errornya kenapa aplikasi pemerintah kalah sama swasta terus sih,negative,banget ngebug enggak baca buku pinjam website errornya aplikasi perintah kalah swasta sih
terima kasih tim ipusnas yang sudah memperbaiki aplikasinya bersyukur banget ada app sebagus ini dengan koleksi buku yang sangat lengkap dan bagus semoga selalu amanah,positive,terima kasih tim ipusnas baik aplikasi syukur banget app bagus koleksi buku lengkap bagus moga amanah
akhirnya benar lagi meski menunggu bulan lebih terima kasih yang sudah memperbaiki appnya please jangan dibiarkan lama lagi kalau appnya crash,negative,tunggu terima kasih baik appnya please biar appnya crash
terima kasih sudah tidak error setelah update,negative,terima kasih tidak error update
yes i can borrow books yes i can read itu but theres a one day limit for borrowing books efficiency efficiency efficiency etc hell nawh,positive,yes borrow books yes read theres one day limit borrowing books efficiency efficiency efficiency etc hell nawh
tidak stabil,negative,tidak stabil
sering banget tiba tiba log out sendiri nanti pas dimasuki akunnya lagi malah kesalahan data tolong diperbaiki lagi dong masa saya baru saja download bukunya tiba tiba keluar sendiri dari apknya sering banget begitu baru download keluar dari apknya baru buka saja langsung keluar dari apknya parahnya lagi tuh sering log out sendiri dan kalo mau log ini lagi terus tulisan nya kesalahan data kalo enggak server sedang sibuk,negative,banget log pas masuk akun salah data tolong baik download buku apknya banget download apknya buka langsung apknya parah tuh log kalo log tulis nya salah data kalo enggak server sibuk
the app doesnt work on my huawei tab even though the internet connection is fine,positive,app doesnt work huawei tab even though internet connection fine
tidak bisa menyimpan buku di peminjaman anggaran ipusnas buat perbaikan server biar masyarakat bisa mengakses dan baca buku sepuasnya sebaliknya anggaran jangan dikurangin buat mbak pls thx,positive,tidak simpan buku pinjam anggar ipusnas baik server biar masyarakat akses baca buku puas anggar rangin mbak pls thx
ini aplikasi cemerlang hanya saja sekarang ada bug nya sudah beberapa bulan ini saya tidak bisa meminjam bukunya karena ada masalah teknis mohon tim ipusnas segera memperbaiki,negative,aplikasi cemerlang bug nya tidak pinjam buku teknis mohon tim ipusnas baik
thx for fixing the bug sekarang sudah bisa pinjam buku lagi aku suka koleksi bukumu banyak banget,positive,thx fixing bug pinjam buku suka koleksi buku banget
aplikasi sudah bisa login kutipan berfungsi dengan baik terimakasih perpustakaan nasional,positive,aplikasi login kutip fungsi terimakasih pustaka nasional
sudah bagus sih aplikasinya tapi saranku ya ditambahin jumlah copyannya masa cuman saja per buku sedangkan rakyat indonesia saja juta mana lama banget lagi ngantrinya kalau mau minjem buku,neutral,bagus sih aplikasi saran ya ditambahin copyannya cuman buku rakyat indonesia juta banget ngantrinya minjem buku
ipusnas dan elib lainnya sekarang sudah pada enggak bisa dipakai sama sekali sebagai pengguna dari tahun jujur rasanya sedih kecewa banget btw tementemen kalau ada yang mau minjem buku gratis mending ke ijakarta saja di sana aplikasinya masih bisa diakses dan koleksi bukunya juga banyak,positive,ipusnas elib enggak pakai guna jujur sedih kecewa banget tementemen minjem buku gratis mending ijakarta aplikasi akses koleksi buku
aplikasinya sudah bisa dibuka bukunya sudah bisa didownload terimakasih atas perbaikannya,positive,aplikasi buka buku didownload terimakasih baik
thanks for the fix on the book system,positive,thanks fix book system
ini aplikasi bagus banget bintang lima karena sudah nyediain elib ini cuman tolonglah jangan sering maintenance error mulu perasaan,negative,aplikasi bagus banget bintang nyediain elib cuman tolong maintenance error mulu asa
mohon kembalikan fungsi pengunduhan buku sekali saat pertama kali dipinjam setiap kali keluar ereader dan harus download ulang itu agak menyebalkan ditambah lagi fitur text selection highlight atau kutipnya menyebalkan enggak bisa di nonaktifkan dengan sekali tap dilayar harus tekan tombol kembali baru bisa nonaktif setelah tekan tombol kembali malah keluar dari ereader dan harus download ulang lagi pengalaman bacanya jadi enggak enak,positive,mohon kembali fungsi unduh buku kali pinjam kali ereader download ulang sebal tambah fitur text selection highlight kutip sebal enggak nonaktif tap layar tekan tombol nonaktif tekan tombol ereader download ulang alam baca enggak enak
saatnya uninstall kayaknye kena efisiensi juga nih aplikasj error enggak dibenerin bye,negative,uninstall kayaknye kena efisiensi nih aplikasj error enggak dibenerin bye
saya tidak dapat meminjam buku apapun katanya ada kesalahan data,negative,tidak pinjam buku apa salah data
error mulu enggak bisa pinjam buku,negative,error mulu enggak pinjam buku
sekarang bisa dibuka tapi tidak bisa pinjam buku ada tulisan gagal mengirim data,negative,buka tidak pinjam buku tulis gagal kirim data
belum bisa minjam buku juga sudah beberapa bulan menunggu,negative,minjam buku tunggu
ini apk juga kena efisiensi kah,negative,apk kena efisiensi kah
too much error,negative,much error
sudah berbulanbulan tidak bisa diakses,negative,berbulanbulan tidak akses
kokk gabisaa sih trouble muluu nih dari tadiikenapayaa perasaan dulu enggak kayak begini,negative,kokk gabisaa sih trouble muluu nih tadiikenapayaa asa enggak kayak
maret sepertinya rakyat dilarang pintar oktober gila sudah berapa bulan ini enggak juga di benerin bugnya setelah update versi terbaru jadi tidak bisa buka buku yang dipinjam selalu force close saat coba baca buku apapun,negative,maret rakyat larang pintar oktober gila enggak benerin bugnya update versi baru tidak buka buku pinjam force close coba baca buku apa
cant borrow books,neutral,cant borrow books
bisa log ini tapi tetap enggak bisa pinjem buku dan baca offline,positive,log enggak pinjem buku baca offline
everytime i wanna borrow a book which there are still many copies of itu itu is notified that theres a problem with the data really hope this problem will be fixed soon,negative,everytime wan na borrow book still many copies notified theres problem data really hope problem fixed soon
sudah sebulan lebih mau pinjam buku enggak bisa notifnya ada masalah saat mengirim data enggak ada perbaikan sampai sekarang,neutral,bulan pinjam buku enggak notifnya kirim data enggak baik
error terus pas pinjam,negative,error pas pinjam
tidak bisa meminjam buku atau mengunduh,negative,tidak pinjam buku unduh
overall bagus cuma sepertinya ada masalah terkait dengan databasenya semoga cepat diselesaikan karena banyak teman teman yang ingin meminjam buku namun datanya tidak dapat diakses,negative,overall bagus kait databasenya moga cepat selesai teman teman pinjam buku data tidak akses
this application should be a very useful application for many people making itu easier tapi access reading and searching for lecture materials orang the like but itu is very disappointment that this application always has problems with logging ini orang the book borrowing process hopefully there will be a fix soon,neutral,application useful application many people making easier access reading searching lecture materials orang like disappointment application always problems logging orang book borrowing process hopefully fix soon
sudah bulan lebih enggak bisa pinjam buku selalu disuruh coba lagi nanti,negative,enggak pinjam buku suruh coba
gangguan terus sudah berapa bulan ini enggak bisa pinjam buku buat baca ada solusi,positive,ganggu enggak pinjam buku baca solusi
eh enggak bisa minjem buku karena data eror bagaimana deh fix itu pls,negative,eh enggak minjem buku data eror deh fix pls
cant even borrow books cant even read cant di anything rip,negative,cant even borrow books cant even read cant anything rip
i used tapi love this app sok much the book collection is great and itu made reading very easy i even recommended itu tapi my students because this app really helped us read more without having tapi buy books but for the pasti two years especially after the updates the app often has errors and sometimes the books cant be borrowed at all i hope the developers can fix this soon because ini my very humble opinion ipusnas is such a really great platform for reading and learning,positive,used love app sok much book collection great made reading easy even recommended students app really helped us read without buy books two years especially updates app often errors sometimes books cant borrowed hope developers fix soon humble opinion ipusnas really great platform reading learning
ada masalah saat mengirim data silakan coba lagi nanti begitu katanya kak kalo saya klik pinjam terimakasih,positive,kirim data sila coba kak kalo klik pinjam terimakasih
enggak bisa minjem buku aplikasinya mersamalah mulu tiap kali mau pinjem tulissannya terjadi kesalahan saat pengiriman data pinjam di waktu lainnya tapi masalahnya sudah dadi beberapa hari yang lalu sampai sekarang belum bisa minjem coba minjem buku di perangkat lainnga juga enggak bisa nih app,negative,enggak minjem buku aplikasi mersamalah mulu kali pinjem tulissannya salah kirim data pinjam dadi minjem coba minjem buku perangkat lainnga enggak nih app
ini bagaimana ya aku suka aplikasinya karena hampir semua buku yang kucari ada tapi setiap mau pinjam buku selalu enggak bisa tulisannya ada masalah saat mengirim data meminta tolong difix secepatnya dong kak butuh banget buku di dalam sini,negative,ya suka aplikasi buku cari pinjam buku enggak tulis kirim data tolong difix cepat kak butuh banget buku
sangat disayangkan pihak mengembang sepertinya tidak punya cukup dana untuk mengelola aplikasi ini,negative,sayang kembang tidak dana kelola aplikasi
menawarkan banyak buku untuk dipinjam dan gratis tapi kenapa pada saat klik pinjam muncul peringatan ada masalah saat mengirim data,negative,tawar buku pinjam gratis klik pinjam muncul ingat kirim data
konten aplikasi bagus tapi bug terus yuk bisa yuk maintenance,positive,konten aplikasi bagus bug yuk yuk maintenance
whats the problem with this app i cant even borrow anything how can i read the collection then,negative,whats problem app cant even borrow anything read collection
kenapa enggak bisa pinjam buku ya eror terus,neutral,enggak pinjam buku ya eror
buku tidak bisa dipinjam,negative,buku tidak pinjam
maintenance hampir bulan sejak awal tahun sungguh mengerikan sebuah kemunduran peradaban jika benar ini terjadi karena efisiensi anggaran perpustakaan sebuah negara,positive,maintenance sungguh keri mundur adab efisiensi anggar pustaka negara
mau dibenerin kapan tolong kasih kepastian kalo mau ditiadakan juga tolong diumumkan jangan ngegantung begini,positive,dibenerin tolong kasih pasti kalo tiada tolong umum ngegantung
buku tidak bisa diakses,negative,buku tidak akses
kok sudah enggak bisa minjem buku lagi sihhhhh,neutral,enggak minjem buku sihhhhh
tidak bisa meminjam buku ada masalah saat mengirim data silakan coba lagi nanti sampai kapan nantinya,negative,tidak pinjam buku kirim data sila coba
enggak bisa pinjem buku dananya habis buat mbak kah bagaimana mau mencerdaskan kehidupan bangsa jika maintenance ini sudah terlalu lama menurut saya baru kali ini saya sangat kecewa dengan sebuah aplikasi apakah pemerintah sungguh tidak peduli kepada rakyatnya jika memang tidak bisa menyediakan bahan baca publik secara fisik minimal secara virtual sekarang juga yang virtual tidak bisa digunakan,negative,enggak pinjem buku dana habis mbak kah cerdas hidup bangsa maintenance kali kecewa aplikasi perintah sungguh tidak peduli rakyat tidak sedia bahan baca publik fisik minimal virtual virtual tidak
tolong dong sudah hampir sebulanan lebih kok masih error ya padahal sudah di update saya ingin meminjam buku untuk tugas jadi susah tolong segera diperbaiki saya butuh sekali,negative,tolong bulan error ya update pinjam buku tugas susah tolong baik butuh
tidak bisa pinjam buku error mulu,negative,tidak pinjam buku error mulu
semoga anggaran kalian tidak dipotong lagi bahkan ditambah dan aplikasi ini bisa diakses lagi salam literasi,negative,moga anggar tidak potong tambah aplikasi akses salam literasi
enggak banget error terus padahal lagi skripsian butuh ipusnas buat cari referensi tapi malah enggak bisa digunain sudah sebulanan tolong lah,negative,enggak banget error skripsi butuh ipusnas cari referensi enggak digunain bulan tolong
ini apakah masih bisa dipakai aplikasinya saya selalu dapat pesan ada masalah saat mengirimkan data silakan coba lagi nanti setiap klik tombol pinjam buku jika ada yang punya solusinya mohon dibagi ya guys,negative,pakai aplikasi pesan kirim data sila coba klik tombol pinjam buku solusi mohon bagi ya guys
uninstalled comeback next quarter sejak bulan januari peminjaman buku kendala kini bulan feb pun belum berfungsi tombol pinjam dan pesan kendala ada masalah dalam mengirimkan data coba lagi beberapa saat,negative,uninstalled comeback next quarter januari pinjam buku kendala feb fungsi tombol pinjam pesan kendala kirim data coba
halosampai hari ini saya masih mengalami kendala saat meminjam buku sudah mencoba menghuhungi via email namun juga belum ada tanggapannya mohon info dan solusinya terimakasih,positive,halosampai alami kendala pinjam buku coba menghuhungi via email tanggap mohon info solusi terimakasih
cant tapi use,neutral,cant use
error mulu mau minjam enggak bisa terus,negative,error mulu minjam enggak
sudah berhari hari enggak bisa pinjam buku selalu muncul ada masalah saat mengirim data silakan coba lagi,negative,hari enggak pinjam buku muncul kirim data sila coba
apaan error bae,negative,error bae
aplikasinya enggak bisa dipakai error enggak bisa klik pinjam ada masalah dalam kirim data coba lagi begitu terus,negative,aplikasi enggak pakai error enggak klik pinjam kirim data coba
aplikasi enggak bisa di pakaipadahal seharusnya bagustapi kendala nya ada terus jelek bangettttolong di perbaiki,negative,aplikasi enggak pakaipadahal bagustapi kendala nya jelek bangettttolong baik
perbaiki bug issue apps tidak bisa meminjam buku sama sekali,negative,baik bug issue apps tidak pinjam buku
enggak bisa pinjam tulisannya ada masalah saat mengirim data sudah diuninstall masih trouble sudah pakai hp tablet biji sudah ganti akun sama saja kalo sudah bisa pinjam buku n baca nanti ku ubah ratingnya tolong diperbaiki secepatnya,positive,enggak pinjam tulis kirim data diuninstall trouble pakai hp tablet biji ganti akun kalo pinjam buku n baca ku ubah ratingnya tolong baik cepat
error melulu,negative,error melulu
cant borrow some book,neutral,cant borrow book
i dont know whats wrong with the app i cant borrow the book even though its available theres always info that says cant contain the data etc itu seems like a bug only for mine i have tried tapi move tapi the pc install and uninstall many times but itu doesnt work if theres a way tapi solve the problem orang how tapi contact the one who can help me please let me know asap i really appreciate the help for maintenance this is actually a good app please memakai itu easy how tapi use this app,negative,dont know whats wrong app cant borrow book even though available theres always info says cant contain data etc seems like bug mine tried move pc install uninstall many times doesnt work theres way solve problem orang contact one help please let know asap really appreciate help maintenance actually good app please pakai easy use app
aplikasi sering error enggak bisa pinjem buku enggak niat membudayakan membaca memang,negative,aplikasi error enggak pinjem buku enggak niat budaya baca
mbak,neutral,mbak
eror terus,negative,eror
cant borrow books,neutral,cant borrow books
waktu mau pinjam bermasqlah mulu,positive,pinjam bermasqlah mulu
kenapa ya error terus padahal kan aku pengin baca tolong ya,positive,ya error pengin baca tolong ya
