content,case_folding,cleaning,slang,tokenizing,filtered,stemmed,final_text,sentimentLabel
"habis update, malah ga bisa log in..","habis update, malah ga bisa log in..",habis update malah ga bisa log in,habis update malah enggak bisa log ini,"['habis', 'update', 'malah', 'enggak', 'bisa', 'log', 'ini']","['habis', 'update', 'enggak', 'log']","['habis', 'update', 'enggak', 'log']",habis update enggak log,negative
tolong berikan opsi pengaturan tampilan bacaan yg lebih lengkap. Karena yg sekarang sangat tidak nyaman,tolong berikan opsi pengaturan tampilan bacaan yg lebih lengkap. karena yg sekarang sangat tidak nyaman,tolong berikan opsi pengaturan tampilan bacaan yg lebih lengkap karena yg sekarang sangat tidak nyaman,tolong berikan opsi pengaturan tampilan bacaan yang lebih lengkap karena yang sekarang sangat tidak nyaman,"['tolong', 'berikan', 'opsi', 'pengaturan', 'tampilan', 'bacaan', 'yang', 'lebih', 'lengkap', 'karena', 'yang', 'sekarang', 'sangat', 'tidak', 'nyaman']","['tolong', 'opsi', 'pengaturan', 'tampilan', 'bacaan', 'lengkap', 'tidak', 'nyaman']","['tolong', 'opsi', 'atur', 'tampil', 'baca', 'lengkap', 'tidak', 'nyaman']",tolong opsi atur tampil baca lengkap tidak nyaman,negative
"finally bisa install di ereader, syukurlah","finally bisa install di ereader, syukurlah",finally bisa install di ereader syukurlah,finally bisa install di ereader syukurlah,"['finally', 'bisa', 'install', 'di', 'ereader', 'syukurlah']","['finally', 'install', 'ereader', 'syukurlah']","['finally', 'install', 'ereader', 'syukur']",finally install ereader syukur,positive
"overall bagus. cuman nih ya, cuman... setiap kali ada kalimat yang mau di-stabilo-in (atau apalah itu namanya), kenapa selalu nge-lag? tolong perbaiki, ya. terkadang ada kalimat yang menurut aku penting untuk diingat dan niatnya pengen aku tandain. kalau terus""an begini, aku jadi perlahan lost interest sama iPusnas. aplikasi ini udah bagus, lho. kalian memudahkan kami yang suka membaca dengan membuat aplikasi ini. tapi akan lebih bagus lagi jika bug nya diperbaiki. terima kasih.","overall bagus. cuman nih ya, cuman... setiap kali ada kalimat yang mau di-stabilo-in (atau apalah itu namanya), kenapa selalu nge-lag? tolong perbaiki, ya. terkadang ada kalimat yang menurut aku penting untuk diingat dan niatnya pengen aku tandain. kalau terus""an begini, aku jadi perlahan lost interest sama ipusnas. aplikasi ini udah bagus, lho. kalian memudahkan kami yang suka membaca dengan membuat aplikasi ini. tapi akan lebih bagus lagi jika bug nya diperbaiki. terima kasih.",overall bagus cuman nih ya cuman setiap kali ada kalimat yang mau distabiloin atau apalah itu namanya kenapa selalu ngelag tolong perbaiki ya terkadang ada kalimat yang menurut aku penting untuk diingat dan niatnya pengen aku tandain kalau terusan begini aku jadi perlahan lost interest sama ipusnas aplikasi ini udah bagus lho kalian memudahkan kami yang suka membaca dengan membuat aplikasi ini tapi akan lebih bagus lagi jika bug nya diperbaiki terima kasih,overall bagus cuman nih ya cuman setiap kali ada kalimat yang mau distabiloin atau apalah itu namanya kenapa selalu ngelag tolong perbaiki ya terkadang ada kalimat yang menurut aku penting untuk diingat dan niatnya pengin aku tandain kalau terusan begini aku jadi perlahan lost interest sama ipusnas aplikasi ini sudah bagus lho kalian memudahkan kami yang suka membaca dengan membuat aplikasi ini tapi akan lebih bagus lagi jika bug nya diperbaiki terima kasih,"['overall', 'bagus', 'cuman', 'nih', 'ya', 'cuman', 'setiap', 'kali', 'ada', 'kalimat', 'yang', 'mau', 'distabiloin', 'atau', 'apalah', 'itu', 'namanya', 'kenapa', 'selalu', 'ngelag', 'tolong', 'perbaiki', 'ya', 'terkadang', 'ada', 'kalimat', 'yang', 'menurut', 'aku', 'penting', 'untuk', 'diingat', 'dan', 'niatnya', 'pengin', 'aku', 'tandain', 'kalau', 'terusan', 'begini', 'aku', 'jadi', 'perlahan', 'lost', 'interest', 'sama', 'ipusnas', 'aplikasi', 'ini', 'sudah', 'bagus', 'lho', 'kalian', 'memudahkan', 'kami', 'yang', 'suka', 'membaca', 'dengan', 'membuat', 'aplikasi', 'ini', 'tapi', 'akan', 'lebih', 'bagus', 'lagi', 'jika', 'bug', 'nya', 'diperbaiki', 'terima', 'kasih']","['overall', 'bagus', 'cuman', 'nih', 'ya', 'cuman', 'kali', 'kalimat', 'distabiloin', 'apalah', 'namanya', 'ngelag', 'tolong', 'perbaiki', 'ya', 'terkadang', 'kalimat', 'niatnya', 'pengin', 'tandain', 'terusan', 'perlahan', 'lost', 'interest', 'ipusnas', 'aplikasi', 'bagus', 'lho', 'memudahkan', 'suka', 'membaca', 'aplikasi', 'bagus', 'bug', 'nya', 'diperbaiki', 'terima', 'kasih']","['overall', 'bagus', 'cuman', 'nih', 'ya', 'cuman', 'kali', 'kalimat', 'distabiloin', 'apa', 'nama', 'ngelag', 'tolong', 'baik', 'ya', 'terkadang', 'kalimat', 'niat', 'pengin', 'tandain', 'terus', 'perlahan', 'lost', 'interest', 'ipusnas', 'aplikasi', 'bagus', 'lho', 'mudah', 'suka', 'baca', 'aplikasi', 'bagus', 'bug', 'nya', 'masalah', 'terima', 'kasih']",overall bagus cuman nih ya cuman kali kalimat distabiloin apa nama ngelag tolong baik ya terkadang kalimat niat pengin tandain terus perlahan lost interest ipusnas aplikasi bagus lho mudah suka baca aplikasi bagus bug nya masalah terima kasih,positive
kenapa buku yang sudah dipinjam tidak langsung terunduh seperti dulu? apa harus online sekarang? kalo ga sengaja keluar pasti nunggu di unduh ulang lagi.,kenapa buku yang sudah dipinjam tidak langsung terunduh seperti dulu? apa harus online sekarang? kalo ga sengaja keluar pasti nunggu di unduh ulang lagi.,kenapa buku yang sudah dipinjam tidak langsung terunduh seperti dulu apa harus online sekarang kalo ga sengaja keluar pasti nunggu di unduh ulang lagi,kenapa buku yang sudah dipinjam tidak langsung terunduh seperti dulu apa harus online sekarang kalo enggak sengaja keluar pasti menunggu di unduh ulang lagi,"['kenapa', 'buku', 'yang', 'sudah', 'dipinjam', 'tidak', 'langsung', 'terunduh', 'seperti', 'dulu', 'apa', 'harus', 'online', 'sekarang', 'kalo', 'enggak', 'sengaja', 'keluar', 'pasti', 'menunggu', 'di', 'unduh', 'ulang', 'lagi']","['buku', 'dipinjam', 'tidak', 'langsung', 'terunduh', 'online', 'kalo', 'enggak', 'sengaja', 'menunggu', 'unduh', 'ulang']","['buku', 'pinjam', 'tidak', 'langsung', 'unduh', 'online', 'kalo', 'enggak', 'sengaja', 'tunggu', 'unduh', 'ulang']",buku pinjam tidak langsung unduh online kalo enggak sengaja tunggu unduh ulang,neutral
"Terima kasih iPusnas, telah menjaga nyala api literasi bagi masyarakat Indonesia. Sukses selalu untuk seluruh tim dibalik layar","terima kasih ipusnas, telah menjaga nyala api literasi bagi masyarakat indonesia. sukses selalu untuk seluruh tim dibalik layar",terima kasih ipusnas telah menjaga nyala api literasi bagi masyarakat indonesia sukses selalu untuk seluruh tim dibalik layar,terima kasih ipusnas telah menjaga nyala api literasi bagi masyarakat indonesia sukses selalu untuk seluruh tim dibalik layar,"['terima', 'kasih', 'ipusnas', 'telah', 'menjaga', 'nyala', 'api', 'literasi', 'bagi', 'masyarakat', 'indonesia', 'sukses', 'selalu', 'untuk', 'seluruh', 'tim', 'dibalik', 'layar']","['terima', 'kasih', 'ipusnas', 'menjaga', 'nyala', 'api', 'literasi', 'masyarakat', 'indonesia', 'sukses', 'tim', 'dibalik', 'layar']","['terima', 'kasih', 'ipusnas', 'jaga', 'nyala', 'api', 'literasi', 'masyarakat', 'indonesia', 'sukses', 'tim', 'balik', 'layar']",terima kasih ipusnas jaga nyala api literasi masyarakat indonesia sukses tim balik layar,neutral
maksudnya verifikasi gagal itu apa? jelas2 saya installnya dari sini. kurang asli apa lagi hah? berdosa kalian.,maksudnya verifikasi gagal itu apa? jelas2 saya installnya dari sini. kurang asli apa lagi hah? berdosa kalian.,maksudnya verifikasi gagal itu apa jelas saya installnya dari sini kurang asli apa lagi hah berdosa kalian,maksudnya verifikasi gagal itu apa jelas saya installnya dari sini kurang asli apa lagi hah berdosa kalian,"['maksudnya', 'verifikasi', 'gagal', 'itu', 'apa', 'jelas', 'saya', 'installnya', 'dari', 'sini', 'kurang', 'asli', 'apa', 'lagi', 'hah', 'berdosa', 'kalian']","['maksudnya', 'verifikasi', 'gagal', 'installnya', 'asli', 'hah', 'berdosa']","['maksud', 'verifikasi', 'gagal', 'installnya', 'asli', 'hah', 'dosa']",maksud verifikasi gagal installnya asli hah dosa,negative
"the app is really great, i really appreciate it, and I'm really grateful. BUT PLEASE FIX THE PROBLEM, I can't even read, the app says verification failed and you have to download from play store, wth, do you think i downloaded it from a dark web or something, of course I downloaded it from play store bruh","the app is really great, i really appreciate it, and i'm really grateful. but please fix the problem, i can't even read, the app says verification failed and you have to download from play store, wth, do you think i downloaded it from a dark web or something, of course i downloaded it from play store bruh",the app is really great i really appreciate it and im really grateful but please fix the problem i cant even read the app says verification failed and you have to download from play store wth do you think i downloaded it from a dark web or something of course i downloaded it from play store bruh,the app is really great i really appreciate itu and im really grateful but please fix the problem i cant even read the app says verification failed and you have tapi download from play store wth di you think i downloaded itu from a dark web orang something of course i downloaded itu from play store bruh,"['the', 'app', 'is', 'really', 'great', 'i', 'really', 'appreciate', 'itu', 'and', 'im', 'really', 'grateful', 'but', 'please', 'fix', 'the', 'problem', 'i', 'cant', 'even', 'read', 'the', 'app', 'says', 'verification', 'failed', 'and', 'you', 'have', 'tapi', 'download', 'from', 'play', 'store', 'wth', 'di', 'you', 'think', 'i', 'downloaded', 'itu', 'from', 'a', 'dark', 'web', 'orang', 'something', 'of', 'course', 'i', 'downloaded', 'itu', 'from', 'play', 'store', 'bruh']","['app', 'really', 'great', 'really', 'appreciate', 'im', 'really', 'grateful', 'please', 'fix', 'problem', 'cant', 'even', 'read', 'app', 'says', 'verification', 'failed', 'download', 'play', 'store', 'wth', 'think', 'downloaded', 'dark', 'web', 'orang', 'something', 'course', 'downloaded', 'play', 'store', 'bruh']","['app', 'really', 'great', 'really', 'appreciate', 'im', 'really', 'grateful', 'please', 'fix', 'problem', 'cant', 'even', 'read', 'app', 'says', 'verification', 'failed', 'download', 'play', 'store', 'wth', 'think', 'downloaded', 'dark', 'web', 'orang', 'something', 'course', 'downloaded', 'play', 'store', 'bruh']",app really great really appreciate im really grateful please fix problem cant even read app says verification failed download play store wth think downloaded dark web orang something course downloaded play store bruh,negative
Duh error terus. Diminta pakai aplikasi resmi dari play store dan devicenya gak boleh dimodifikasi. Padahal gak ada masalah sama device dan download juga dari play store. Tolong perbaikannya. Supaya semua orang bisa baca,duh error terus. diminta pakai aplikasi resmi dari play store dan devicenya gak boleh dimodifikasi. padahal gak ada masalah sama device dan download juga dari play store. tolong perbaikannya. supaya semua orang bisa baca,duh error terus diminta pakai aplikasi resmi dari play store dan devicenya gak boleh dimodifikasi padahal gak ada masalah sama device dan download juga dari play store tolong perbaikannya supaya semua orang bisa baca,duh error terus diminta pakai aplikasi resmi dari play store dan devicenya enggak boleh dimodifikasi padahal enggak ada masalah sama device dan download juga dari play store tolong perbaikannya supaya semua orang bisa baca,"['duh', 'error', 'terus', 'diminta', 'pakai', 'aplikasi', 'resmi', 'dari', 'play', 'store', 'dan', 'devicenya', 'enggak', 'boleh', 'dimodifikasi', 'padahal', 'enggak', 'ada', 'masalah', 'sama', 'device', 'dan', 'download', 'juga', 'dari', 'play', 'store', 'tolong', 'perbaikannya', 'supaya', 'semua', 'orang', 'bisa', 'baca']","['duh', 'error', 'pakai', 'aplikasi', 'resmi', 'play', 'store', 'devicenya', 'enggak', 'dimodifikasi', 'enggak', 'device', 'download', 'play', 'store', 'tolong', 'perbaikannya', 'orang', 'baca']","['duh', 'error', 'pakai', 'aplikasi', 'resmi', 'play', 'store', 'devicenya', 'enggak', 'modifikasi', 'enggak', 'device', 'download', 'play', 'store', 'tolong', 'baik', 'orang', 'baca']",duh error pakai aplikasi resmi play store devicenya enggak modifikasi enggak device download play store tolong baik orang baca,negative
Trashhhhh,trashhhhh,trashhhhh,trashhhhh,['trashhhhh'],['trashhhhh'],['trashhhhh'],trashhhhh,negative
