final_text,sentimentLabel
yes borrow books yes read theres one day limit borrowing books efficiency efficiency efficiency etc hell nawh,negative
tidak stabil,negative
banget log pas masuk akun salah data tolong masalah download buku apknya banget download apknya buka langsung apknya parah tuh log kalo log tulis nya salah data kalo enggak server sibuk,negative
app doesnt work huawei tab even though internet connection fine,neutral
tidak simpan buku pinjam anggar ipusnas masalah server biar masyarakat akses baca buku puas anggar rangin mbak pls thx,neutral
aplikasi cemerlang bug nya tidak pinjam buku teknis mohon tim ipusnas masalah,neutral
thx fixing bug pinjam buku suka koleksi buku banget,positive
aplikasi login kutip fungsi terimakasih pustaka nasional,neutral
bagus sih aplikasi saran ya ditambahin copyannya cuman buku rakyat indonesia juta banget ngantrinya minjem buku,negative
ipusnas elib enggak pakai guna jujur sedih kecewa banget tementemen minjem buku gratis mending ijakarta aplikasi akses koleksi buku,negative
aplikasi buka buku didownload terimakasih baik,neutral
thanks fix book system,positive
aplikasi bagus banget bintang nyediain elib cuman tolong maintenance error mulu asa,positive
mohon kembali fungsi unduh buku kali pinjam kali ereader download ulang sebal tambah fitur text selection highlight kutip sebal enggak nonaktif tap layar tekan tombol nonaktif tekan tombol ereader download ulang alam baca enggak enak,negative
uninstall kayaknye kena efisiensi nih aplikasj error enggak masalah bye,negative
tidak pinjam buku apa salah data,neutral
error mulu enggak pinjam buku,negative
buka tidak pinjam buku tulis gagal kirim data,neutral
belum minjam buku tunggu,negative
apk kena efisiensi kah,negative
much error,negative
berbulanbulan tidak akses,negative
kokk gabisaa sih trouble muluu nih tadiikenapayaa asa enggak kayak,negative
maret rakyat larang pintar oktober gila enggak benerin bugnya update versi baru tidak buka buku pinjam force close coba baca buku apa,negative
cant borrow books,negative
log enggak pinjem buku baca offline,negative
everytime wan na borrow book still many copies notified theres problem data really hope problem fixed soon,negative
bulan pinjam buku enggak notifnya kirim data enggak masalah,neutral
error pas pinjam,negative
tidak pinjam buku unduh,neutral
overall bagus kait databasenya moga cepat selesai teman teman pinjam buku data tidak akses,positive
application useful application many people making easier access reading searching lecture materials orang like disappointment application always problems logging orang book borrowing process hopefully fix soon,negative
enggak pinjam buku suruh coba,negative
ganggu enggak pinjam buku baca solusi,negative
eh enggak minjem buku data eror deh fix pls,negative
cant even borrow books cant even read cant anything rip,negative
used love app sok much book collection great made reading easy even recommended students app really helped us read without buy books two years especially updates app often errors sometimes books cant borrowed hope developers fix soon humble opinion ipusnas really great platform reading learning,positive
kirim data sila coba kak kalo klik pinjam terimakasih,neutral
enggak minjem buku aplikasi mersamalah mulu kali pinjem tulissannya salah kirim data pinjam dadi belum minjem coba minjem buku perangkat lainnga enggak nih app,negative
ya suka aplikasi buku cari pinjam buku enggak tulis kirim data tolong difix cepat kak butuh banget buku,positive
sayang kembang tidak dana kelola aplikasi,neutral
tawar buku pinjam gratis klik pinjam muncul ingat kirim data,neutral
konten aplikasi bagus bug yuk yuk maintenance,neutral
whats problem app cant even borrow anything read collection,negative
enggak pinjam buku ya eror,negative
buku tidak pinjam,neutral
maintenance sungguh keri mundur adab efisiensi anggar pustaka negara,negative
masalah tolong kasih pasti kalo tiada tolong umum ngegantung,negative
buku tidak akses,negative
enggak minjem buku sihhhhh,negative
tidak pinjam buku kirim data sila coba,neutral
enggak pinjem buku dana habis mbak kah cerdas hidup bangsa maintenance kali kecewa aplikasi perintah sungguh tidak peduli rakyat tidak sedia bahan baca publik fisik minimal virtual virtual tidak,negative
tolong bulan error ya update pinjam buku tugas susah tolong masalah butuh,negative
tidak pinjam buku error mulu,negative
moga anggar tidak potong tambah aplikasi akses salam literasi,neutral
enggak banget error skripsi butuh ipusnas cari referensi enggak digunain bulan tolong,negative
pakai aplikasi pesan kirim data sila coba klik tombol pinjam buku solusi mohon bagi ya guys,neutral
uninstalled comeback next quarter januari pinjam buku kendala feb belum fungsi tombol pinjam pesan kendala kirim data coba,neutral
halosampai alami kendala pinjam buku coba menghuhungi via email belum tanggap mohon info solusi terimakasih,neutral
cant use,negative
error mulu minjam enggak,negative
hari enggak pinjam buku muncul kirim data sila coba,neutral
error bae,negative
aplikasi enggak pakai error enggak klik pinjam kirim data coba,neutral
aplikasi enggak pakaipadahal bagustapi kendala nya jelek bangettttolong baik,negative
baik bug issue apps tidak pinjam buku,neutral
enggak pinjam tulis kirim data diuninstall trouble pakai hp tablet biji ganti akun kalo pinjam buku n baca ku ubah ratingnya tolong masalah cepat,negative
error melulu,negative
cant borrow book,negative
dont know whats wrong app cant borrow book even though available theres always info says cant contain data etc seems like bug mine tried move pc install uninstall many times doesnt work theres way solve problem orang contact one help please let know asap really appreciate help maintenance actually good app please pakai easy use app,negative
aplikasi error enggak pinjem buku enggak niat budaya baca,negative
mbak,neutral
eror,negative
cant borrow books,negative
pinjam bermasqlah mulu,negative
ya error pengin baca tolong ya,negative
error mulu ya garagara anggar potong maintenance apk,negative
banget baik akses,positive
aplikasi bagus teman zaman covid sayang tidak download buku sistem moga masalah,positive
error memgirim data sila coba,negative
jelek,negative
errornya enggak pinjam buku senang banget buku belum fisik baca pinjam eh enggak apa enggak orang enggak pinjam tolong ya indonesia buku cerdas bangsa masuk tuju negara dasar negara weh,positive
tidak pinjam buku coba gagal stok,negative
woiii sih error dah,negative
error buku sedia enggak pinjam,negative
kenapaaa enggak pakai bulan,negative
tidak,negative
dear ipusnas please aplikasi bantu orang akses baca bagus digital koleksi ipusnas agam bagusbagus aplikasi masalah buku pinjam coba berkalikali eror uninstall enggak pengaruh apa review enggak tolong baik bug aplikasi thx,positive
kecewa berat ipusnas aplikasi error terus belum info pasti normal tidak kabar tambah spekulasi baca setia ipusnas pelihara tingkat aman memang pelihara ujungujungnya error ipusnas solusi tampil tenang baca setia iphsnas,negative
belum dwonload buku ya kirim data mohon bantu,neutral
diupdate enggak pakai enggak pinjam buku deh hapus,neutral
ya pinjam terang error tolong masalah ya sayang banget error,negative
bilang keren banget ganggu tolong min ini fasilitas cerdas bangsa tolong kelola cerdas,negative
enggak pinjem buku kecewa banget,negative
gjls eror mulu,negative
enggak pinjam buku kirim data coba tolong masalah,neutral
pinjam buku kirim data sila coba,neutral
asih bintang ipusnas maaf ya kasih bintang update model uninstal kali pakai kesal enggak kayak pinjam buku pc suruh instal hp baca hp lelah,negative
buku lumayan lengkap enggak pinjam buku kasih notif salah kirim data sila coba help aplikasi banyak bug,neutral
buku enggak pinjam,neutral
poor app often error please fix,negative
serius update enggak masalah ya pinjam buku masalaheror,negative
eror mulu sih baca enggak copy nya enggak pinjem,negative
app nya sih susah banget pinjem buku coba ganti email instal ulang please,negative
wrong app really enjoy reading books app dont know error page keeps loading even though signal internet good,positive
jelek banget enggak apa,negative
enggak pakai pengin baca hambat,negative
jelek error mulu,negative
tolong masalah enggak pinjem buku eror enggak,negative
busuk ngehamburin duit negara apps enggak pakai,negative
coba tingkat,neutral
tolong masalah aplikasi login enggak satu buku pinjam,neutral
tolong baik bugs nya enggak minjem tahun nih,negative
several months borrow books app please fix,neutral
tidak pinjam buku aneh,negative
rawan error aplikasi bukan prioritas perintah aplikasi jenis perintah,negative
tolong admin aplikasi diperhatiin pinjam buku enggak tolong banget admin masalah ditingkatin aplikasi,negative
yaampun hancur hancur negara kelas kelola aplikasi pus nasional amburadul kuno problem,negative
enggak buka buku gagal kirim data melulu kasihan baca indonesia gara gara server eror,negative
loadingnya ya akun masuk lelet banget enggak unduh buku,negative
masalah bang kagak pinjam hisssh tunggu neolitikum cmon,negative
copy sedia pada pinjam alami,neutral
eror nya enggak sembuh sembuh heran,negative
cant even open app since wowo became president tf,neutral
tidak pinjam buku digital tanggal download buka kapai pinjam pinjam,neutral
error mulu enggak pinjam buku,negative
ya allah ratingnya turun gin please balikin kayak versi masyarakat baca buku tolong masalah error enggak pinjam buku,negative
bugnya masalah min,negative
minjem buku error solusi,negative
error mulu,negative
aplikasi bagus bantu masyarakat akses literatur sayang error kali ganggu tidak login login tidak pinjam buku,positive
tekan tombol pinjam aplikasi muncul terang kirim data coba akses aplikasi,neutral
aplikasi errornya banding guna tax money,negative
error mulu bukan prioritas perintah sih ya,negative
app isnt working properly xiaomi pad every time try borrow book says problem sending data try later even though internet connection fine,negative
banget maju ipusnas kayak koleksi buku komplit copy pinjam sayang banget update kali enggak pinjem buku kayak error kirim data mulu koleksi bagus enggak baca,negative
aplikasi ipusnas baru pinjam buku kendala proses data aplikasi tidak tampil gambar utuh semenjak ganti device akun ipusnas tidak lepas pasang install tidak,neutral
tidak pinjam buku,neutral
ganggu hari error tidak pinjam mohon tindak lanjut perhati komentar keluh anggota pustaka abai kes ipunas tidak prioritas,negative
sedih banget pustaka nasional kena efisiensi alesan ipusnas error ya enggak buku baca,negative
enggak pinjam buku error,negative
kelola perintah jelek sih,negative
sedih banget bulan enggak download buku error message kirim data email developer enggak respon ratingnya kecewa enggak respon moga review tanggap,negative
error pinjam buku,negative
sumpah amattt baik enggak nyangkaaaa masalah mulu,positive
muncul error java file download error loading lambat,neutral
enggak mbak mau buku gratis,negative
tidak pinjam buku aplikasi ipusnas alas salah pindah data tolong solusi kembang aplikasi,neutral
error enggak dipinjem trss niat enggak sih asih fasilitas,negative
buka aplikasi minjem buku enggak ya feedbacknya salah kirim data butuh buku banget,negative
kali klik pinjam terang nya kirim data coba kali download app nya,neutral
enggak pinjam ya coba uninstall insta ulang kirim data sila coba tekan tombol pinjam copian buku alami nih terima kasih,neutral
fix asap whats point app cant borrow book,neutral
benerin woi hari eror,negative
tidak pinjam sebelumsebelumnya sayang app bantu tingkat akses baca gratis,neutral
crashed internal error enggak pinjem buku bingung lapor mana koleksi bagus dsn interface upgraded,negative
data server error provider nya enggak update kayak nya nih,negative
pinjam ebook gagal,negative
update app work xiaomi pad,neutral
weeks please repair error,negative
always error,negative
tidak pinjam buku tolong masalah,negative
sedih banget aplikasi bagus suka baca pinjem sayang banget suka error nya moga bagus aplikasi enggak error,negative
kemarin tuh pakai minjem buku eh enggak nemu buku bagus,negative
uninstalled cant even borrow book tulis data error try later apa install tunggu minggu enggak pinjam buku tolong masalah sistem pakai masyarakat indonesia tidak akses perpusnas daerah jakarta,negative
susah kalo pinjem buku,negative
aplikasi aco enggak masalah guys anggar habis sedot mbak,negative
tidak pinjam buku tulis error klik pinjam buku tolong masalah,neutral
eror belum minjem buku,negative
aplikasi bagus agam buku baca akhirakhir tidak pinjam tolong masalah,positive
theres always error whenever im trying borrow book,negative
capek banget ipusnas bulan problem mohon cepat benah sistem,negative
pinjam buku muncul terang kirim data,neutral
app error masalah pinjam buku,negative
cant even read one baca error,negative
pakai doang abistu ganggu tolong kalo kasih program biar rakyat baca mudah ganggu mulu,negative
aplikasi masalah enggak baca buku online masalah minjam buku,negative
enggak buka lloading piye iki ipusnas error mulu enggak pinjam buku minggu,negative
pinjam buku nya kirim data mulu admin tolong bug nya diperbaikin tq,negative
tidak fungsi useable pakai app kendala tidak login tidak pinjam file ebooknya tidak buka literal tidak pakai,negative
berharihari pinjem buku tidak alas gagal kirim data,negative
tidak pinjam buku muncul pop message kirim data,neutral
error,negative
aplikasi jalan tidak pinjam buku device samsung tab si android please fix aplikasi tidak pinjam buku tidak masalah bulan lapor,neutral
tidak pinjam buku,neutral
minggu aplikasi enggak pas minjam buku enggak pinjam tulis kirim data sila coba mohon bantu,neutral
histori akun hilang update,negative
fix pls,neutral
pinjam buku eror minggu tidak masalah mohon masalah,negative
tolong masalah enggak papa biar buku pinjam enggak error,neutral
enggak niat masalah enggak pinjam buku,negative
versi baru tidak unduh,neutral
enggak pinjam buku ya error,negative
enggak pinjem ebook nya niat bikin apk enggak sih,negative
niat enggak sih bikin aplikasi serius literasi maju buka malas banyak error contoh tuh china serius bikin ekosistem investasi gede teknologi,negative
aplikasi error sih kemarin pinjem buku enggak sinyal bagus ku hpku ngelag aplikasi aneh,negative
tidak unduh buku,negative
bagus aplikasi kendala belum meninjam baik ya,negative
nya sih nih aplikasi nya update kalo buruk,negative
buku tidak pinjam serius enggak sih aplikasi,negative
cant borrow book cs problem data orang something idk ive trying nothing pls fix problem,negative
unuseable desember update ok lumayan baca baca dar kesini kocak login error history hilang apa fitur highlight bookmark due loan book hilang kelas layan nasional literasi sungguh terlaluuu smh,negative
ganggu tolong baik,negative
sungguh disanyangkan aplikasi tambah literasi masyarakat kendala tolong masalah,neutral
error mulu cok,negative
ipusnas kenapaaaaa enggak pinjem buku,neutral
login susah banyak error sekali hasil coba minjam buku error enggak ya apk nya,negative
nggatau enggak pas pinjem pustaka nggabisa,negative
apk bagus laman home ngebug lamaaa banget menit muter enggak pakai fitur searchnya kalo ayo baik bukubuku baru tolong tolong bukubuku pinjam tidak dibukabaca masalah tolong masalah butuh bukubuku apk terimakasih,negative
belum pinjam buku segitu masalah,negative
eperpus enggak akses sok banget ajak inggris bangun world class university,negative
update tidak pinjam buku,neutral
baik selesai sih masalah pinjam buku,negative
enggak masuk enggak pinjam buku bulan,negative
enggak minjam coba buku gabisaaaaaa tolong benerinn,negative
masalah enggak selesai selesai dana nya pakai mbak ya,negative
great app provides us lot book unfortunately app often error sok really uncomfortable use plus notifications real time theres notification appear tho cant even log updating lol keep editing review getting worse worse whats point providing many copies always getting problem whenever try borrow zero star even minus,negative
enggak pakai buku penting mahasiswa harga buku fisik mahal pustaka kota enggak lengkap eh buku digital enggak baca masalah perintah enggak rakyat pintar kah,negative
enggak minjam buku kirim data,negative
useless,negative
error bangeeeett tidak klik pinjam eror kayak kemarin masak enggak pakai berbulanbulan,negative
minggu enggak masalah,neutral
errornya enggak niat masalah error,negative
enggak pinjem buku tulis mengirmkan data coba,negative
gkbisa baca buku,negative
mimiinn failed nya enggak pinjam miiinnn,negative
tidak pinjam buku tidak kredensial lengkap,negative
butuh tingkat performa aplikasi,neutral
coba aplikasi nasional tarik kali buka aplikasi daftar selesai daftar suruh coba pas coba gagal suruh coba aplikasi tarik manfaat,negative
aplikasi perintah tidak muas,negative
ribet ya enggak pinjem buku,negative
gagal pinjam buku buku sedia moga masalah,negative
diupdate susah pinjem error dll tolong masalah,negative
kak maaf enggak pinjam buku ya muncul notifikasi kirim data sila coba tolong masalah kak butuh referensi susun proposal skripsi terimakasih,neutral
unduh buku nya load banget nge stuck situ situ yauda enggak baca nge stuck loading unduh duh enggak deh pinjam buku errpr melulu sih,negative
harap coba install ulang refresh kali kali tidak masalah minat baca solusi minggu buka ulang kali lucu,neutral
enggak pinjam buku,negative
aplikasi bobrok buang anggar doang pinjam buku enggak,negative
good,positive
worst app ever always error,negative
dah log enggak minjem buku,neutral
cewek error,negative
idk cant borrow books since last year pls fix app,neutral
tolong masalah sistem nya login proses pinjam buku gagal,negative
baik aplikasi kesini jelek guna tolong dengar,negative
bapuk banget deh,positive
banget benernya kocak alah didik tuh prioritas bukan makan kocak,negative
enggak buka,negative
tidak login coba versi webnya tidak,negative
error hambat orang baca ebook,negative
orang backend kerja woiii,negative
bagus bantu cari referensi aplikasi eror sulit buka,neutral
bagus manfaat error ya tolong ditingkatin ya aplikasi benerbener manfaat banget baca buku digital,positive
aplikasi plenger,neutral
tidak masalah berkalikali kendala login download resmi sulit login akun gmail kendala,neutral
daftar susah nya ampun kelas nasional api banget,negative
bego aplikasi enggak login,negative
enggak masuk error pertsma esok error deh bolak unistallinstall enggak,negative
error pinjem error buka aplikasi error login ulang error pus digital indonesia enggak download pus digital ijakarta masalah sistem cari ipusda pinjem error ningkatin literasi niat baca sulit buku mahal ilegal enggak gilir legal sulit ampun,negative
update baru aplikasi tidak uninstall login riwayat pinjam buku pinjam kosong halaman home loading tombol cari tidak tekan tidak pinjam buku uninstall install ulang error tidak login kondisi benarbenar hambat guna mohon masalah,neutral
enggak daftar kakak enggak gunain app nya,negative
aplikasi perintah bobrok enggak urus sihjangankan bacabuka enggak,negative
aplikasi bagus guna banget baca buku gratis sisi apk nya banget ngebug ngebug ketimbang normal nya sayang apk guna kayak enggak maintenance,positive
update version baru enggak login,neutral
ux nya enggak beres kerja sir,negative
susah buka enggak login enggak loading halaman web nya update parah,negative
enggak baca ya,negative
enggak logindaftar ya,negative
aplikasi manfaat banget kendala eror tidak logindaftar baikbaik,positive
tidak login website app tidak loading tampil apa bug update,neutral
habis upgrade enggak buka,negative
apk jelek bug pesan error mentah tampil user login enggak,negative
normal habis error enggak login,negative
enggak pinjam buku sulit login eror mulu update apk,negative
update tidak pinjam buku tidak edit profile tidak log uninstall install tidak login daftar muncul javalangillegal blablabla,neutral
diupdate enggak pinjam buku error mulu pas coba login ulang enggak,negative
tidak minat masalah alangkah baik hapus aplikasi kritik kembang aplikasi rasarasanya enggan masalah aplikasi aplikasi bagus mutu kembang tidak support tidak minat masalah aplikasi betah manusia bodoh,negative
aplikasi enggak,negative
kalo kasih mes maintenance mulu coy,negative
kecewa,negative
parah banget habis update enggak masuk bikin akun enggak niat bikin aplikasi enggak sih,negative
seringgg banget eror pas baca tolong banget masalah,negative
tidak masuk tulis java coba masaih belum masuk tolong masalah,negative
mohon masalah aplikasi,neutral
crash enggak pakai,negative
unusable register masuk akun enggak pinjam buku naskah kuno kopi tidak coba direinstall tidak login versi web android bug enggak enggak tangan aplikasi tidak pakai ubah ui bagus aplikasi enggak pakai cuman eye candy broken product,negative
banget enggak baca maintenancenya lumayan pengaruh flow baca butuh referensi moga cepat benah,positive
manfaat lelet banget buka sinyal bagus buka app lancar app enggak sinkron device akun batas baca beda device,negative
upgrade enggak buka mending versi deh guna baca jujur kecewa,negative
akses enggak admin tolong pantau errornya,negative
login daftar susah banget internet bagus aplikasi loading,negative
cant login email method mont cant login app,neutral
aplikasi maintenance sekali maintenance hadeh hadeh,negative
payah ah enggak pinjem buku alesannya mulu baik ngalamin nih,negative
coba uninstall install berkalikali pinjam buku muncul notifikasi kirim data coba aplikasi perintah kualitas layan hadir tidak sesuai rakyat bayar pajak,neutral
real guys give private programmer orang something always mess every update,neutral
error mulu,negative
guna maintenance minggu kalo eror minat baca turun bukan malas ipusnas eror,negative
bermingu minggu maintenance kagak tuh,negative
update belum pakai kirim data coba,neutral
ginni lahbuka pinjem buku torced close,neutral
tidak login android tolong bantu tim full web tidak android ios mudah maintenance repot kalo audit,negative
error benar aplikasi gebrak kalo enggak ngelag ya enggak login tambah download buku mbak doang mesti ngosongin memori internal gb unduh benerbener ya yuk yuk tim developer ipusnas gereget ngerjain aplikasi kalah aplikasi buat swasta sih,negative
baru tidak masalah terang pinjam buku tidak nali coba masalah,neutral
baik improvement lumayan banding versi responsif niat geser halaman block ganggu ayo devnya kerja keras bantu kah edit aplikasi sampah kondisi unusable butuh bantu kah,negative
update aplikasi tidak buka,neutral
update pinjam buku tulis tidak nali update sia sia tolong masalah terimakasih,neutral
jujur enak versi ribet suka keluarkeluar enggak dana kembang enggak korupsi sumpah enggak nyaman tulung canggih nyaman bagus tampil mundur deh bintang tambah bintang bagus kualitas,positive
salah teross,negative
gila ku tingkat kualitas sistem bobrok,negative
keeps crashing semangat dev nya,negative
tidak pinjam buku terang tidak nali sayang banget nama ipusnas tanggap selesai layan appsnya moga lekas benah,positive
hasil pinjam buku aplikasi tutup,neutral
buku unduh enggak baca access denied device redmi pad,neutral
error bikin formatsistem baca kindle please,negative
update nih bagus keren,positive
belum minjam buku,negative
even working waste tax money,neutral
kenap enggak pinjam bukutertulis tidak dikenaltolong masalah,neutral
eror tidak baca buku,negative
belum buka android januari ayo pintar warga indonesia,neutral
ereader jadul nova air android ram gb thanks sok much dec mohon masalah app ereader onyx boox nova air android versi app lancar upgrade versi masalah baca novel tamat bintang,neutral
buruk aplikasi tidak login verifikasi perangkat gagal dawload play store perangkat tidak modif,negative
kali login tidak muncul pesan verifikasi perangkat pasti perangkat aplikasi google play store perangkat tidak modifikasi install pas handphone enggak modifikasi coba ganti pw tau pw nya salah eh coba login uninstall install,neutral
verifikasi perangkat hp enggak modifikasi apa,neutral
plisss tim ipusnas baik aplikasi deh enggak kembang masalah ratingnya bantu pustaka enggak pinjam buku bukan domisili jabodetabek moga benah ipusnas gua edit bintang kalo ipusnas enggak error gabisaaa logiiiinnn verivikasi perangkat gagalll,positive
enggak pakai ya,negative
aplikasi log aplikasi lot banget,positive
woeh enggak minjem buku enggak buka aplikasi jir,negative
plis enggak sih aneh baca buku susah kalo rnd aplikasi saran bikin aplikasi dummy coba coba ya allah,negative
cant even open app says use official app google play even though downloaded google play store,neutral
jelek ih asa baru enggak parah deh semenjak baru jelek eror melulu sengaja kah enggak baca buku harga buku mahal hadehhhh,negative
aplikasi semenjak diupdate jelek enggak masuk playstore loading aplikasi ya ganggu heran,negative
error benerin,negative
error tak login,negative
habis diupdate enggak login,neutral
parah banget,negative
aneh banget nih apk enggak pinjem enggak login lol,negative
update buruk enggak buka app selkali,negative
jelek sih app bagus banget baca buku,positive
useless cant even borrow single book,negative
tolong baik pakai enggak buka gilir buka pinjam buku muncul ket verifikasi perangkat gagal,neutral
banyak error nya nih warasny gws,negative
download ilegal deh,negative
masalah tanggal buka masalah parah login enggak terang apk bukan playstore bukan playstore komen playstore donwload playstore aneh,negative
application doesnt work properly,negative
baik banget,positive
baca reviewnya jebot kasih bintang crash error dll konsisten errornya udahan yuk errornya banget pengin suka baca ya kalo error mulu,negative
aplikasi bosokkkk arep moco angel,neutral
aplikasi tidak baharu,negative
tidak login muncul ingat perangkat tidak verifikasi suruh aplikasi resmi playstore download nya ya playstore sayang bukubukunya bagus,neutral
jelek ganggu,negative
aplikasi ambruk tampil uiux nya kampung enggak pakai duit negara developnya koruptor,negative
enggak niat aplikasi mending dana pakai manfaat enggak minjem web update aplikasi enggak resmi playstore,negative
error,negative
aplikasi hati download hari hari aplikasi susah buka dalih aplikasi tidak resmi mobile phone tidak resmi resmi aplikasi kelas lembaga nasional penting publik aplikasi aplikasi murah maintenance bugs sistem sungguh ironi mana warga negara indonesia akses pustaka nasional miris,negative
,negative
akun suka log susah log,negative
